coord_rmse,azimuth_rmse,elevation_rmse,distance_rmse
44.68003252770124,35.29788851224656,29.422353055919473,44.545482885448415
42.21504710714275,23.19324953999532,35.77106568611501,42.0731977572166
45.06253647022846,288.744485527404,49.08613181715397,44.61133484525747
42.09871722361648,68.37902464122563,29.538139498907523,41.85493525695678
39.67875270763205,30.33872958124504,65.64332913591804,39.18877259647542
42.68066544214362,250.59503592141675,57.80600264727371,42.02010682822281
44.97233286887424,126.2994902000728,31.998557875055408,44.34926851605761
42.85861913863624,164.49469905925304,59.325049213711246,41.81924995018266
45.31198382682919,231.92520589175612,46.978622286147704,44.63274159138735
44.75275023115777,34.44781471476697,44.97431949437523,44.47674871860892
42.20614137786481,31.829965970355957,40.28636907326101,41.996398119316495
45.080241226962876,288.97839737666465,50.66676504254049,44.63835943361928
42.16228983499681,91.70372290989737,33.669743006390284,41.81978849861902
39.724830495823255,25.469920506015534,67.43021274793551,39.23797657202293
42.57681123732055,260.60566943638884,51.47401884361572,42.081769769743936
44.91303259360667,110.79314101625943,30.344773769692594,44.34095192079659
42.863863094786886,147.31094704584774,60.908246284779594,41.808087355067784
45.31205225778531,233.41032621549473,47.30889284785053,44.63379836139832
49.82294543322908,23.1317107794106,66.5046292254757,49.591651866252924
52.05033265527075,100.06245142537436,52.54155412619353,51.78337071264772
52.03657879866537,278.13658645245266,57.160284953940554,51.703649522110474
51.90950181562776,29.21682899546532,53.52521155105623,51.694921240852096
54.074629145164785,58.66514123774134,51.83451346582287,53.803558124273344
54.06943704692774,323.0065866202974,50.74121108486938,53.85816209752293
57.997195407896115,29.898377295885588,42.07830095201633,57.85796950162485
59.88888742570511,44.78741201104233,41.93980890824579,59.690347702841876
59.87192006865183,341.1220700593174,40.39087219789171,59.722916568750904
52.16945465685838,188.6118119030424,57.29126901252624,51.73205660615295
54.286786582707244,143.72114861698049,50.673689189234395,53.814207514252836
54.25469489147171,235.607942121671,50.6678033017519,53.815605396363104
58.38081157544295,189.77693057228726,44.514850828489344,57.807238825674354
60.288039018754745,164.59958663944514,41.027923286826436,59.70449002109561
60.2591981650648,216.25476692882881,41.22552701138468,59.69930566258534
60.281944583745414,163.7848409404216,40.62655363332623,59.68582700313073
58.027834322695284,29.718384940767617,42.88169802080558,57.89479915417933
59.87477766955964,341.7259005802712,41.3800905477171,59.70738494729548
54.068775870806626,58.42271651711333,51.174617465821036,53.80239142608979
51.94673854264967,30.656694061712827,57.056274863009044,51.715242098506124
54.05626334573349,323.197366648095,50.832563818594906,53.837832622141505
52.061637202438305,100.42896325219175,56.123354061651476,51.72363826077884
49.83346102233855,24.52458579220825,67.0868613085284,49.59515173508352
52.0405710501034,277.5210108412439,57.31141231439133,51.709839855131385
52.15848264026251,189.914991773711,56.11426234702469,51.703266889758176
52.134370288579596,191.16384032099066,53.02259866589075,51.795177401217956
54.25240589800819,235.36386812974388,50.873572348154795,53.79748127091074
60.280281265152624,162.67825171709933,41.233393837796015,59.721468987268
58.37618823072465,189.10806716198033,44.52471524783357,57.81744298398193
60.252983340813394,214.95406972304446,40.92447495612314,59.71903849990979
